start;end;description
0;0;No secondary ancesetry
1;99;WESTERN EUROPE (EXCEPT SPAIN)
1;1;ALSATIAN
1;1;Alsace Lorraine
2;2;ANDORRAN
2;2;Andorra
3;4;AUSTRIAN
3;3;AUSTRIAN
3;3;Austria
4;4;TIROL
4;4;Tirol
5;7;BASQUE
5;5;BASQUE
5;5;Euskalduna
5;5;Euzkadi
6;6;FRENCH BASQUE
7;7;SPANISH BASQUE
7;7;Vasco
8;10;BELGIAN
8;8;BELGIAN
8;8;Belgium
9;9;FLEMISH
9;9;Flanders
9;9;Fleming
9;9;Vlamand
10;10;WALLOON
11;14;BRITISH
11;11;BRITISH
11;11;Great Britain
11;11;United Kingdom
12;12;BRITISH ISLES
13;13;CHANNEL ISLANDER
13;13;Guernsey Islander
13;13;Jersey Islander
14;14;GIBRALTAR
15;15;CORNISH
15;15;Cornwall
16;16;CORSICAN
16;16;Corsica
17;19;CYPRIOT
17;17;CYPRIOT
17;17;Cyprus
18;18;GREEK CYPRIOTE
19;19;TURKISH CYPRIOTE
20;20;DANISH
20;20;Denmark
21;21;DUTCH
21;21;Holland
21;21;Netherlands
22;22;ENGLISH
22;22;Anglican
22;22;England
22;22;Mayflower
23;23;FAEROE ISLANDER
23;23;Faeroe Islands
24;25;FINNISH
24;24;FINNISH
24;24;Finland
25;25;KARELIAN
26;27;FRENCH
26;26;FRENCH
26;26;France
26;26;Gascon
26;26;Hugenot
26;26;Normandy
27;27;LORRAINE
28;28;BRETON
28;28;Breizh
28;28;Bretagne
28;28;Brittany
29;29;FRISIAN
29;29;Friesian Islands
30;31;FRIULIAN
30;30;FRIULIAN
30;30;Friuli
30;30;Furlan
31;31;LADIN
32;45;GERMAN
32;32;GERMAN
32;32;Germany
33;33;BAVARIA
34;34;BERLIN
35;35;HAMBURG
36;36;HANNOVER
37;37;HESSIAN
38;38;LUBECKER
39;39;POMERANIAN
40;40;PRUSSIAN
41;41;SAXON
42;42;SUDETENLANDER
43;43;WESTPHALIAN
44;44;EAST GERMAN
45;45;WEST GERMAN
45;45;Palatinate
45;45;Rhineland
46;48;GREEK
46;46;GREEK
46;46;Greece
47;47;CRETAN
48;48;CYCLADES
48;48;Dodecanese Islander
48;48;Peloponnesian
49;49;ICELANDER
49;49;Iceland
50;50;IRISH
50;50;Black Irish
50;50;Clare
50;50;Cork
50;50;Donegal
50;50;Dubliner
50;50;Eire
50;50;Galway
50;50;Ireland
50;50;Irish Free State
50;50;Kerry
50;50;Kildare
50;50;Kilkenny
50;50;Laoighis
50;50;Leitrim
50;50;Leix
50;50;Limerick
50;50;Longford
50;50;Louth
50;50;Mayo
50;50;Meath
50;50;Monaghan
50;50;Offaly
50;50;Roscommon
50;50;Sligo
50;50;Tipperary
50;50;Waterford
50;50;Westmeath
50;50;Wexford
50;50;Wicklow
51;74;ITALIAN
51;51;ITALIAN
51;51;Istria
51;51;Italy
52;52;TRIESTE
53;53;ABRUZZI
54;54;APULIAN
54;54;Apulia
55;55;BASILICATA
55;55;Lucania
56;56;CALABRIAN
57;57;AMALFIN
57;57;Campania
58;58;EMILIA ROMAGNA
59;59;ROME
59;59;Lazio
59;59;Vatican City
60;60;LIGURIAN
61;61;LOMBARDIAN
62;62;MARCHE
63;63;MOLISE
64;64;NEAPOLITAN
65;65;PIEDMONTESE
66;66;PUGLIA
67;67;SARDINIAN
68;68;SICILIAN
68;68;Sicily
69;69;TOSCANA
69;69;Tuscany
