AGE;ANCSTRY1;ANCSTRY2;HISPANIC;INDUSTRY;LANG1;LANG2;OCCUP;POB;RACE;RPINCOME;SEX
80;022;999;199;000;2;000;000;001;001;020436;1
77;939;999;000;000;2;000;000;001;001;014900;0
77;088;999;000;000;2;000;000;001;001;006480;1
51;939;999;000;272;2;000;717;001;001;034000;0
17;050;999;000;601;2;000;877;001;001;002666;0
06;939;999;000;000;2;000;000;005;001;000000;0
48;999;999;000;272;2;000;453;001;001;035400;0
39;050;999;000;882;2;000;185;045;001;015600;0
52;900;999;000;000;2;000;000;001;002;003780;1
63;050;999;000;000;2;000;000;001;001;003180;1
24;939;999;000;362;2;000;044;005;001;016000;0
00;999;999;000;000;0;000;000;001;008;000000;0
12;050;920;000;000;2;000;000;001;001;000000;1
04;032;999;000;000;0;000;000;001;001;000000;1
23;032;022;000;722;2;000;453;001;001;008709;1
38;900;999;000;060;2;000;588;001;002;005000;0
42;032;022;000;842;2;000;156;024;001;027313;1
68;114;999;000;741;2;000;257;042;001;014000;0
67;050;022;000;000;2;000;000;001;001;056064;1
24;022;020;000;682;2;000;274;047;001;014695;0
41;425;999;000;842;2;000;156;028;001;020000;1
44;050;999;000;741;1;607;523;017;001;032200;0
23;050;051;000;712;2;000;254;012;001;000000;1
78;999;999;000;000;2;000;000;001;001;000000;1
51;050;999;000;362;2;000;064;025;001;088263;0
17;142;050;000;000;2;000;000;034;001;001500;1
32;050;032;000;000;2;000;000;110;001;000000;1
47;021;999;000;842;2;000;156;005;001;006988;1
72;939;999;000;000;2;000;000;001;001;003600;1
48;996;999;000;641;2;000;436;001;001;004812;1
10;050;920;000;000;2;000;000;001;001;000000;0
06;050;920;000;000;2;000;000;001;001;000000;0
14;935;999;000;000;2;000;000;001;001;000000;1
49;995;999;000;440;2;000;379;001;001;001200;1
52;999;999;000;010;2;000;479;001;001;002800;0
16;051;125;000;641;2;000;435;039;001;001249;1
34;022;999;000;870;2;000;097;001;001;006500;1
02;999;999;000;000;0;000;000;047;001;000000;1
53;050;999;000;641;2;000;436;001;001;002000;1
42;051;088;000;000;2;000;000;001;001;000000;1
26;900;999;000;731;2;000;785;001;002;011000;1
76;032;999;000;060;2;000;599;001;001;006406;0
12;087;999;000;000;2;000;000;001;001;000000;1
70;999;999;000;000;2;000;000;001;001;003500;1
10;999;999;000;000;2;000;000;001;001;000000;0
03;022;999;199;000;0;000;000;001;001;000000;0
28;999;999;000;000;2;000;000;001;001;000000;1
48;999;999;000;740;2;000;426;001;001;008103;0
69;900;999;000;761;2;000;407;047;002;004000;1
17;032;999;000;641;2;000;276;001;001;002000;1
39;939;999;000;011;2;000;479;013;001;000000;1
39;999;999;000;151;2;000;744;001;001;010036;1
41;050;999;000;060;2;000;593;001;001;037118;0
05;032;920;000;000;2;000;000;001;001;000000;1
35;920;999;000;000;2;000;000;001;001;000000;1
75;050;999;000;551;2;000;243;001;001;008218;0
22;032;999;000;732;2;000;213;001;001;018100;0
23;939;999;000;100;2;000;364;001;001;001000;0
56;999;999;000;831;2;000;103;001;001;000000;1
46;939;999;000;672;2;000;783;001;001;052000;0
54;032;022;000;711;2;000;253;001;001;002000;1
45;920;022;000;060;2;000;313;001;001;015000;1
23;999;999;000;641;2;000;436;001;001;001100;0
36;999;999;000;821;2;000;207;001;001;022334;1
67;924;999;000;000;2;000;000;001;001;004872;1
03;050;026;000;000;0;000;000;001;001;000000;0
60;022;999;000;000;2;000;000;001;001;010210;1
56;939;999;000;272;2;000;719;001;001;016000;0
41;999;999;000;000;1;620;000;001;001;001630;0
11;999;999;000;000;2;000;000;028;001;000000;0
78;999;999;000;000;2;000;000;001;001;006600;1
32;900;999;000;231;2;000;779;001;002;008000;0
09;900;999;000;000;2;000;000;001;002;000000;1
57;999;999;000;562;2;000;804;028;001;010000;0
14;900;999;000;000;2;000;000;001;002;000000;0
32;999;999;000;242;2;000;785;001;001;001300;1
37;999;999;000;901;2;000;804;001;002;030000;0
75;022;999;000;000;2;000;000;001;001;000000;1
21;920;999;000;700;2;000;013;001;001;000000;1
