start;end;description
0;600;NOT IN UNIVERSE
601;601;JAMAICAN CREOLE
602;602;KRIO
603;603;HAWAIIAN PIDGIN
604;604;PIDGIN
605;605;GULLAH
606;606;SARAMACCA
607;607;GERMAN
607;607;Austrian
607;607;Swiss
608;608;PENNSYLVANIA DUTCH
609;609;YIDDISH
610;610;DUTCH
610;610;Flemish
611;611;AFRIKAANS
612;612;FRISIAN
613;613;LUXEMBOURGIAN
614;614;SWEDISH
615;615;DANISH
616;616;NORWEGIAN
617;617;ICELANDIC
618;618;FAROESE
619;619;ITALIAN
620;620;FRENCH
620;620;Walloon
621;621;PROVENCAL
622;622;PATOIS
623;623;FRENCH CREOLE
623;623;Haitian Creole
624;624;CAJUN
625;625;SPANISH
626;626;CATALONIAN
627;627;LADINO
628;628;PACHUCO
629;629;PORTUGUESE
630;630;PAPIA MENTAE
631;631;RUMANIAN
632;632;RHAETO-ROMANIC
632;632;Romansch
633;633;WELSH
634;634;BRETON
635;635;IRISH GAELIC
636;636;SCOTTIC GAELIC
637;637;GREEK
638;638;ALBANIAN
639;639;RUSSIAN
640;640;BIELORUSSIAN
641;641;UKRAINIAN
642;642;CZECH
643;643;KASHUBIAN
644;644;LUSATIAN
644;644;Sorbian
644;644;Wendish
645;645;POLISH
646;646;SLOVAK
647;647;BULGARIAN
648;648;MACEDONIAN
649;649;SERBOCROATIAN
649;649;Slavic
649;649;Yugoslav
650;650;CROATIAN
651;651;SERBIAN
652;652;SLOVENE
653;653;LITHUANIAN
654;654;LETTISH
655;655;ARMENIAN
656;656;PERSIAN
656;656;Farsi
656;656;Pushto
657;657;PASHTO
657;657;Afghan
658;658;KURDISH
659;659;BALOCHI
660;660;TADZHIK
661;661;OSSETE
662;662;SANSKRIT
663;663;HINDI AND RELATED
663;663;Hindi
663;663;India
663;663;Urdu
664;664;BENGALI
665;665;PANJABI
666;666;MARATHI
667;667;GUJARATHI
668;668;BIHARI
669;669;RAJASTHANI
670;670;ORIYA
671;671;BHILI
672;672;ASSAMESE
673;673;KASHMIRI
674;674;NEPALI
675;675;SINDHI
676;676;MALDIVIAN
677;677;SINHALESE
678;678;ROMANY
679;679;FINNISH
680;680;ESTONIAN
681;681;LAPP
682;682;HUNGARIAN
683;683;OTHER URALIC LANGUAGES
683;683;Cheremis
683;683;Mordvin
683;683;Samoyed
683;683;Ugric
683;683;Yenisei
684;684;CHUVASH
685;685;KARAKALPAK
686;686;KAZAKH
687;687;KIRGHIZ
688;688;KARACHAY
688;688;Tatar
689;689;UIGHUR
689;689;Uzbek
690;690;AZERBAIJANI
691;691;TURKISH
692;692;TURKMEN
693;693;YAKUT
694;694;MONGOLIAN
695;695;TUNGUS
696;696;CAUCASIAN
696;696;Avar
696;696;Georgian
697;697;BASQUE
698;698;DRAVIDIAN
699;699;BRAHUI
700;700;GONDI
701;701;TELUGU
702;702;KANNADA
703;703;MALAYALAM
704;704;TAMIL
705;705;KURUKH
706;706;MUNDA
707;707;BURUSHASKI
708;708;CHINESE
708;708;Cantonese
708;708;Yueh
708;708;Min
709;709;HAKKA
709;709;Fukien
709;709;K'echia
710;710;KAN
710;710;Nan Chang
711;711;HSIANG
711;711;Hunan
712;712;MANDARIN
712;712;Honan
712;712;Hopei
712;712;Pei
713;713;FUCHOW
713;713;Min Pei
714;714;FORMOSAN
714;714;Min Nan
715;715;WU
716;716;TIBETAN
717;717;BURMESE
717;717;Tonkin
718;718;KAREN
719;719;KACHIN
720;720;THAI
720;720;Kam
720;720;Lao
720;720;Laotian
720;720;Tung
721;721;MIAO-YAO
722;722;MIAO
722;722;Hmong
723;723;JAPANESE
724;724;KOREAN
725;725;AINU
726;726;MON-KHMER
726;726;Cambodian
726;726;Khmer
726;726;Mon
727;727;SIBERIAN LANGUAGES, not elsewhere classified
728;728;VIETNAMESE
729;729;MUONG
730;730;BUGINESE
731;731;MOLUCCAN
732;732;INDONESIAN
733;733;ACHINESE
734;734;BALINESE
735;735;CHAM
736;736;JAVANESE
737;737;MADURESE
738;738;MALAGASY
739;739;MALAY
740;740;MINANGKABAU
741;741;SUNDANESE
742;742;TAGALOG
742;742;Filipino
743;743;BISAYAN
743;743;Ilongo
744;744;SEBUANO
745;745;PANGASINAN
746;746;ILOCANO
