start;end;description
0;0;not reported
1;59;United States
1;1;Alabama
2;3;Alaska
4;4;Arizona
5;5;Arkansas
6;7;California
8;8;Colorado
9;9;Connecticut
10;10;Delaware
11;11;District of Columbia
12;12;Florida
13;14;Georgia
15;15;Hawaii
16;16;Idaho
17;17;Illinois
18;18;Indiana
19;19;Iowa
20;20;Kansas
21;21;Kentucky
22;22;Louisiana
23;23;Maine
24;24;Maryland
25;25;Massachusetts
26;26;Michigan
27;27;Minnesota
28;28;Mississippi
29;29;Missouri
30;30;Montana
31;31;Nebraska
32;32;Nevada
33;33;New Hampshire
34;34;New Jersey
35;35;New Mexico
36;36;New York
37;37;North Carolina
38;38;North Dakota
39;39;Ohio
40;40;Oklahoma
41;41;Oregon
42;43;Pennsylvania
44;44;Rhode Island
45;45;South Carolina
46;46;South Dakota
47;47;Tennessee
48;48;Texas
49;49;Utah
50;50;Vermont
51;52;Virginia
53;53;Washington
54;54;West Virginia
55;55;Wisconsin
56;59;Wyoming
60;99;U.S. Outlying Areas and Puerto Rico
60;65;American Samoa
66;66;Guam
67;68;Johnston Atoll
69;70;Northern Mariana Islands
71;71;Midway Islands
72;75;Puerto Rico
76;77;Navassa Island
78;78;U.S. Virgin Islands
79;80;Wake Island
81;83;Baker Island
84;85;Howland Island
86;88;Jarvis Island
89;94;Kingman Reef
95;95;Palmyra Atoll
96;99;U.S. territory, not specified
100;199;Europe
100;100;Albania
101;101;Andorra
102;102;Austria
103;103;Belgium
104;104;Bulgaria
105;105;Czechoslovakia
106;106;Denmark
107;107;Faroe Islands
108;108;Finland
109;109;France
110;110;Germany, not specified
111;111;West Germany
112;112;West Berlin
113;113;East Berlin
114;114;East Germany
115;115;Gibraltar
116;116;Greece
117;117;Hungary
118;118;Iceland
119;119;Ireland
120;120;Italy
121;121;Jan Mayen
122;122;Liechtenstein
123;123;Luxembourg
124;124;Malta
125;125;Monaco
126;126;Netherlands
127;127;Norway
128;128;Poland
129;129;Portugal
130;130;Azores Islands
131;131;Madeira Islands
132;132;Romania
133;133;San Marino
134;134;Spain
135;135;Svalbard
136;136;Sweden
137;137;Switzerland
138;138;United Kingdom, not specified
139;139;England
140;140;Scotland
141;141;Wales
142;142;Northern Ireland
143;143;Guernsey
144;144;Jersey
145;145;Isle of Man
146;146;Vatican City
147;147;Yugoslavia
148;148;Europe, not specified
149;149;Central Europe, not specified
150;150;Eastern Europe, not specified
151;151;Lapland, not specified
152;152;Northern Europe, not specified
153;153;Southern Europe, not specified
154;179;Western Europe, not specified
180;180;Union of Soviet Socialist Republics (USSR)
181;181;Baltic States, not specified
182;182;Estonia
183;183;Latvia
184;199;Lithuania
200;299;Asia
200;200;Afghanistan
201;201;Bahrain
202;202;Bangladesh
203;203;Bhutan
204;204;Brunei
205;205;Burma
206;206;Cambodia
207;207;China
208;208;Cyprus
209;209;Hong Kong
210;210;India
211;211;Indonesia
212;212;Iran
213;213;Iraq
214;214;Israel
215;215;Japan
216;216;Jordan
217;217;Korea, not specified
218;218;South Korea
219;219;North Korea
220;220;Kuwait
221;221;Laos
222;222;Lebanon
223;223;Macau
224;224;Malaysia
225;225;Maldives
226;226;Mongolia
227;227;Nepal
228;228;Oman
229;229;Pakistan
230;230;Paracel Islands
231;231;Philippines
232;232;Qatar
233;233;Saudi Arabia
234;234;Singapore
235;235;Spratley Islands
236;236;Sri Lanka
237;237;Syria
238;238;Taiwan
239;239;Thailand
240;240;Turkey
241;241;United Arab Emirates
242;242;Vietnam
243;243;Yemen, People's Democratic Republic
244;244;Yemen Arab Republic
245;245;Asia, not specified
246;246;Asia Minor, not specified
247;247;East Asia, not specified
248;248;Gaza Strip
249;249;Indochina, not specified
250;250;Iraq-Saudi Arabia Neutral Zone
251;251;Mesopotamia, not specified
252;252;Middle East, not specified
253;253;Palestine, not specified
254;254;Persian Gulf States, not specified
255;255;Southeast Asia, not specified
256;299;West Bank
300;399;America
300;309;North America
300;300;Bermuda
301;301;Canada
302;302;Greenland
303;303;St. Pierre and Miquelon
304;309;North America, not specified
310;329;Central America
310;310;Belize
311;311;Costa Rica
312;312;El Salvador
313;313;Guatemala
314;314;Honduras
315;315;Mexico
316;316;Nicaragua
317;317;Panama
318;329;Central America, not specified
330;374;Caribbean
330;330;Anguilla
331;331;Antigua and Barbuda
332;332;Aruba
333;333;Bahamas
334;334;Barbados
335;335;British Virgin Islands
336;336;Cayman Islands
337;337;Cuba
338;338;Dominica
339;339;Dominican Republic
340;340;Grenada
341;341;Guadeloupe
342;342;Haiti
343;343;Jamaica
344;344;Martinique
345;345;Montserrat
346;346;Netherlands Antilles
347;347;St. Barthelemy
348;348;St. Kitts-Nevis
349;349;St. Lucia
350;350;St. Vincent and the Grenadines
351;351;Trinidad and Tobago
352;352;Turks and Caicos Islands
353;353;Caribbean, not specified
354;354;Antilles, not specified
355;355;British West Indies, not specified
356;356;Latin America, not specified
357;357;Leeward Islands, not specified
358;358;West Indies, not specified
359;374;Windward Islands, not specified
375;399;South America
375;375;Argentina
376;376;Bolivia
377;377;Brazil
378;378;Chile
379;379;Colombia
380;380;Ecuador
381;381;Falkland Islands
382;382;French Guiana
383;383;Guyana
384;384;Paraguay
385;385;Peru
386;386;Suriname
387;387;Uruguay
388;388;Venezuela
389;399;South America, not specified
400;499;Africa
400;400;Algeria
401;401;Angola
402;402;Bassas da India
403;403;Benin
404;404;Botswana
405;405;British Indian Ocean Territory
406;406;Burkina Faso
407;407;Burundi
408;408;Cameroon
409;409;Cape Verde
410;410;Central African Republic
411;411;Chad
412;412;Comoros
413;413;Congo
414;414;Djibouti
415;415;Egypt
416;416;Equatorial Guinea
417;417;Ethiopia
418;418;Europa Island
419;419;Gabon
420;420;Gambia
421;421;Ghana
422;422;Glorioso Islands
423;423;Guinea
424;424;Guinea-Bissau
425;425;Ivory Coast
426;426;Juan de Nova Island
427;427;Kenya
428;428;Lesotho
429;429;Liberia
430;430;Libya
431;431;Madagascar
