start;end;description
0;599;American Indian
0;1;Ahtna
2;2;Biorka
3;3;Reserve American Indian  1
4;5;Bristol Bay'Alene
6;6;Chaneliak
7;7;Chugach
8;8;Tanaina
9;9;Doyon
10;10;Kodiak
11;11;Reserve American Indian  2
12;12;Sealaska
13;13;Umpqua
14;14;Alaskan Athabaskan
15;15;Alaska Native
16;16;Haida
17;17;Tlingit
18;18;Tsimshian
19;19;Alaska Indian
20;20;Chehalis
21;21;Chemakum
22;22;Klallam
23;23;Jamestown
24;24;Lower Elwha
25;25;Port Gamble Klallam
26;26;Coquilles
27;27;Cowlitz
28;28;Lummi
29;29;Nooksack
30;30;Puget Sound Salish
31;31;Duwamish
32;32;Kikiallus
33;33;Lower Skagit
34;34;Muckleshoot
35;35;Nisqually
36;36;Puyallup
37;37;Samish
38;38;Sauk-Suiattle
39;39;Upper Skagit
40;40;Skykomish
41;41;Snohomish
42;42;Snoqualmie
43;43;Squaxin Island
44;44;Steilacoom
45;45;Stillaguamish
46;46;Suquamish
47;47;Swinomish
48;48;Tulalip
49;49;Port Madison
50;50;Quinault
51;51;Quileute
52;52;Hoh
53;53;Makah
54;54;Talakamish
55;55;Chinook
56;56;Clatsop
57;57;Kathlamet
58;58;Columbia River Chinook
59;59;Upper Chinook
60;60;Wakiakum Chinook
61;61;Willapa Chinook
62;62;Alsea
63;63;Cayuse
64;64;Celilo
65;65;Coos
66;66;Kalapuya
67;67;Klamath
68;68;Molala
69;69;Oregon Athabaskan
70;70;Siuslaw
71;71;Takelma
72;72;Tenino
73;73;Tillamook
74;74;Tygh
75;75;Umatilla
76;76;Walla-Walla
77;77;Yahooskin
78;78;Yakima
79;79;Skokomish
80;80;Agua Caliente Cahuilla
81;81;Augustine
82;82;Cabazon
83;83;Cahto
84;84;Cahuilla
85;85;Campo
86;86;Capitan Grande
87;87;Chemehuevi
88;88;Chimariko
89;89;Chumash
90;90;Costanoan
91;91;Cupeno
92;92;Cuyapaipe
93;93;Diegueno
94;94;Digger
95;95;Gabrieleno
96;96;Hoopa
97;97;Inaja Cosmit
98;98;Karok
99;99;Kawaiisu
100;100;La Jolla
101;101;Lassik
102;102;La Posta
103;103;Luiseno
104;104;Maidu
105;105;Manzanita
106;106;Mesa Grande
107;107;Mountain Maidu
108;108;Nishinam
109;109;Konkow
110;110;Mattole
111;111;Miwok
112;112;Coast Miwok
113;113;Modoc
114;114;Mono
115;115;Nomalaki
116;116;Pala
117;117;Pechanga
118;118;Pauma
119;119;Pit River
120;120;Pomo
121;121;Dry Creek
122;122;Northern Pomo
123;123;Kashaya
124;124;Central Pomo
125;125;Stonyford
126;126;Eastern Pomo
127;127;Sulphur Bank
128;128;Salinan
129;129;San Manual
130;130;San Pascual
131;131;Santa Rosa Cahuilla
132;132;Santa Ynez
133;133;Santa Ysabel
134;134;Serrano
135;135;Shasta
136;136;Soboba
137;137;Sycuan
138;138;Tolowa
139;139;Torres-Martinez
140;140;Kern River
141;141;Tule River
142;142;Twenty-Nine Palms
143;143;Wailaki
144;144;Wappo
145;145;Whilkut
146;146;Wintu
147;147;Wiyot
148;148;Yana
149;149;Yokuts
150;150;Tachi
151;151;Chukchansi
152;152;Yuki
153;153;Yurok
154;154;Reserve American Indian 3
155;155;Columbia
156;156;Kalispel
157;157;Salish
158;158;Coeur D'Alene
159;159;Colville
160;160;Spokane
161;161;Nez Perce
162;162;Washo
163;163;Alpine
164;164;Carson
165;165;Dresslerville
166;166;Stewart
167;167;Wishram
168;168;Hoopa Extension
169;169;Trinity
170;170;Ute
171;171;Allen Canyon
172;172;Uintah Ute
173;173;Ute Mountain Ute
174;174;Shoshone Paiute
175;175;Paiute
176;176;Northern Paiute
177;177;Cedarville
178;178;Pyramid Lake
179;179;Fort Bidwell
180;180;Las Vegas
181;181;Lovelock
182;182;Utu Utu Gwaitu Paiute
183;183;Fort Independence
184;184;Bridgeport
185;185;Burns Paiute
186;186;Yerington Paiute
187;187;Walker River
188;188;Southern Paiute
189;189;Kaibab
190;190;Moapa
191;191;Owens Valley
192;192;Summit Lake
193;193;Aroostook
194;194;Reserve American Indian  5
195;195;Shoshone
196;196;Battle Mountain
197;197;Duck Water
198;198;Elko
199;199;Ely
200;200;Goshute
201;201;Panamint
202;202;Ruby Valley
203;203;South Fork Shoshone
204;204;Washakie
205;205;Yomba
206;206;Te-Moak Western Shoshone
207;207;Bannock
208;208;Kootenai
209;210;Havasupai'Odham's Cree
211;211;Hualapai
212;212;Yavapai
213;213;Maricopa
214;214;Quechan
215;215;Cocopah
216;216;Mohave
217;217;Pima
218;218;Tohono O'Odham
219;219;Gila Bend
220;220;Ak-Chin
221;221;San Xavier
222;222;Sells
223;223;Yaqui
224;224;Pascua Yaqui
225;225;Barrio Libre
226;226;Mississippi Choctaw
227;227;Reserve American Indian  6
228;228;Jena Choctaw
229;229;Pueblo
230;230;Tigua
231;231;Taos
232;232;Picuris
233;233;Sandia
234;234;Isleta
235;235;Keres
236;236;Acoma
237;237;Cochiti
238;238;Laguna
239;239;San Felipe
240;240;Santa Ana
241;241;Santo Domingo
242;242;Zia
243;243;Tewa
244;244;Nambe
245;245;Pojoaque
246;246;San Ildefonso
247;247;San Juan Pueblo
248;248;Santa Clara
249;249;Tesuque
250;250;Arizona Tewa
251;251;Jemez
252;252;Hopi
253;253;Zuni
254;254;San Juan de
255;255;Apache
256;256;Oklahoma Apache
257;257;Jicarilla Apache
258;258;Lipan Apache
259;259;Mescalero Apache
260;260;Chiricahua
261;261;Fort Sill Apache
262;262;San Carlos Apache
263;263;Payson Apache
264;264;White Mountain Apache
265;265;Reserve American Indian  7
266;266;Reserve American Indian  8
267;267;Reserve American Indian  9
268;268;Reserve American Indian 10
269;269;Reserve American Indian 11
270;270;Reserve American Indian 12
271;271;Reserve American Indian 13
272;272;Reserve American Indian 14
273;273;Reserve American Indian 15
274;274;Reserve American Indian 16
275;275;Navajo
276;276;Kiowa
277;277;Tonkawa
278;278;Oklahoma Caddo
279;279;Arikara
280;280;Oklahoma Pawnee
281;281;Wichita
282;282;Sioux
283;283;Cheyenne River Sioux
284;284;Crow Creek Sioux
285;285;Devils Lake Sioux
286;286;Flandreau Santee
287;287;Fort Peck
288;288;Standing Rock Sioux
289;289;Lake Traverse Sioux
290;290;Lower Sioux
291;291;Pine Ridge Sioux
292;292;Pipestone Sioux
293;293;Prairie Island Sioux
294;294;Prior Lake
295;295;Rosebud Sioux
296;296;Upper Sioux
297;297;Sisseton-Wahpeton Sioux
298;298;Teton Sioux
299;299;Brule Sioux
300;300;Lower Brule Sioux
301;301;Sans Arc Sioux
302;302;Two Kettle Sioux
303;303;Blackfoot Sioux
304;304;Oglala Sioux
305;305;Miniconjou
306;306;Yanktonai Sioux
307;307;Yankton Sioux
308;308;Santee Sioux
309;309;Sisseton Sioux
310;310;Mdewakanton Sioux
311;311;Wahpekute Sioux
312;312;Wahpeton Sioux
313;313;Assiniboine
314;314;Iowa
315;315;Otoe-Missouria
316;316;Winnebago
317;317;Kaw
318;318;Omaha
319;319;Ponca
320;320;Osage
321;321;Quapaw
322;322;Crow
323;323;Hidatsa
324;324;Mandan
325;325;Comanche
326;326;Dakota Sioux
327;327;Wazhaza Sioux
328;328;Nebraska Winnebago
329;329;Wisconsin Winnebago
330;330;Chippewa
331;331;Bay Mills Chippewa
332;332;Sault Ste. Marie Chippewa
333;333;Saginaw Chippewa
334;334;Keweenaw
335;335;Lac Vieux Desert Chippewa
336;336;Ontonagon
337;337;Leelanau
338;338;Minnesota Chippewa
339;339;Boise Forte
340;340;Grand Portage
341;341;Fond Du Lac
342;342;Leech Lake
343;343;Mille Lac
344;344;White Earth
345;345;Red Lake Chippewa
346;346;Lake Superior
347;347;Bad River
348;348;Lac Courte Oreilles
349;349;Lac Du Flambeau
350;350;Red Cliff Chippewa
351;351;St. Croix Chippewa
352;352;Sokoagon Chippewa
353;353;Turtle Mountain
354;354;Rocky Boy's Cree
355;355;Burt Lake Chippewa
356;356;Burt Lake Band
357;357;Reserve American Indian 19
358;358;Reserve American Indian 20
359;359;Burt Lake Ottawa
360;360;Blackfoot
