Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
362,Verified,C,chr 1,PAU8,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,,,,,,,,,,,,,,,
1781,Verified,C,chr 1,SEO1,membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Uncharacterized,C,chr 1,TDA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,Verified,C,chr 1,FLO9,cell part,external encapsulating structure,cell wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Verified,W,chr 1,GDH3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1253,Uncharacterized,W,chr 1,BDH2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1148,Verified,W,chr 1,BDH1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1508,Verified,W,chr 1,CNE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,proteolysis,proteolysis involved in cellular protein catabolic process,,,,,,,,,,binding,protein binding,unfolded protein binding,,,,,,,,,,,,
2642,Verified,W,chr 1,GPB2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
542,Verified,W,chr 1,PEX22,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
